No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
168,,E451,SR01,Main Store,4400007270,"FORD,6640,FILTER ELEMENT 82008607",PCS,5,,,,"2,175,000"
169,,E451,SR01,Main Store,4400018882,"MITS,PS120,CNTR BEARING PROP SHAFT MC 8",PCS,5,,,,825
170,,E451,SR01,Main Store,4400026997,"MITS,PS120,OIL FILTER ME 014837",PCS,5,,,,"663,689"
171,,E451,SR01,Main Store,4400028991,"FORD,TD95D,OIL FILTER 47135703",PCS,5,,,,"1,315,500"
172,,E451,SR01,Main Store,4400031027,"HINO,FF172, SEAL OIL 9828-80120",PCS,5,,,,"183,333"
173,,E451,SR01,Main Store,4400032990,"MEC,BEARING,ROLLER BEARING N215",PCS,5,,,,"15,500,000"
174,,E451,SR01,Main Store,4400055343,"MEC,HOSE,HOSE ASSY 3/8"" R2 430 CM",PCS,5,,,,"1,710,000"
175,,E451,SR01,Main Store,1600016856,"SPRAY,OSATU,ROUND GASKET AN-8V 614-E",PAC,4,,,,"561,6"
176,,E451,SR01,Main Store,4400000108,"MEC,GNRL M,EAR PLUG",PCS,4,,,,"157,407"
177,,E451,SR01,Main Store,4400000910,"MEC,FLTR,ELMNT OIL FILTER ME 014833",PCS,4,,,,300
178,,E451,SR01,Main Store,4400000981,"MEC,BOLT&NUT,BOLT&NUT M17",PCS,4,,,,28
179,,E451,SR01,Main Store,4400002043,"MITS,PS120,LEAF FR SUSP SPRING MC 096602",PCS,4,,,,"1,503,198"
180,,E451,SR01,Main Store,4400002440,"FORD,6640,FUEL FILTER F5ONN-9176-BA",PCS,4,,,,356
181,,E451,SR01,Main Store,4400002492,"FORD,6640,RIM ASSY E6NN-1020-BA",PCS,4,,,,"29,808,800"
182,,E451,SR01,Main Store,4400002561,"FORD,6640,YOKE 82014398",PCS,4,,,,"4,192,400"
183,,E451,SR01,Main Store,4400003360,"MEC,PIPE&FIT,SOCKET PVC  6""",PCS,4,,,,500
184,,E451,SR01,Main Store,4400004973,"FORD,6640,OIL FILTER F2NN-6717-AA",PCS,4,,,,"551,946"
185,,E451,SR01,Main Store,4400006160,"FORD,6640,GEAR BEVEL CAR 65598",SET,4,,,,"23,133,334"
186,,E451,SR01,Main Store,4400006405,"FORD,6640,RIM ASSY E6NN-1020-CA",PCS,4,,,,"12,750,000"
187,,E451,SR01,Main Store,4400006912,"FORD,6640,SEAT ASSY 83985868",PCS,4,,,,"23,536,000"
188,,E451,SR01,Main Store,4400007929,"KOM,GD510R,GUIDE 23A-70-11130",PCS,4,,,,"2,211,111"
189,,E451,SR01,Main Store,4400008468,"KOM,GD510R,CYLINDER ASSY 232-32-56300",SET,4,,,,"5,440,000"
190,,E451,SR01,Main Store,4400012154,"MITS,PS120,NOZZLE WINSHLD WSHR MB 260340",PCS,4,,,,"1,300,000"
